key,en,en_US,en_CA,es,es_419,es_ES,es_SV,es_EC,fr,fr_CA,fr_FR,pt,ru,de,sv,da,fi,no,fo,hu,ro,pl,hy,he,ar,el,ja,zh_HANT,et,ia,,
Preparation.RecomputeNewRecords,Recompute the new records,,,Recalcular los nuevos récords,,Recalcular los nuevos récords,Recalcular los nuevos récords,Recalcular los nuevos récords,Recalculer les nouveaux records,,,Recalcular os novos recordes,Пересчитать новые рекорды,Neuberechnung der neuen Rekorde,Beräkna om de nya rekorden,Genberegn de nye rekorder,Laske uudet ennätykset uudelleen,Beregn de nye rekordene på nytt,Rokna nýggj met av nýggjum,Számítsa újra az új rekordokat,Recalculați noile recorduri,Przelicz nowe rekordy,Վերահաշվարկել նոր ռեկորդները,חשב מחדש את השיאים החדשים,إعادة حساب السجلات الجديدة,Επαναϋπολογισμός των νέων ρεκόρ,新記録を再計算,重新計算新紀錄,Arvutage uued rekordid,1235,,Recompute the new records
AgeGroup.BestAthleteScoringSystem,Override the Best Athlete Scoring System,,,Reemplazar el Sistema de Puntuación del Mejor Atleta,,Reemplazar el Sistema de Puntuación del Mejor Atleta,Reemplazar el Sistema de Puntuación del Mejor Atleta,Reemplazar el Sistema de Puntuación del Mejor Atleta,Remplacer le Système de Notation du Meilleur Athlète,,,Substituir o Sistema de Pontuação do Melhor Atleta,Заменить Систему Подсчета Очков Лучшего Спортсмена,Ersetzen des Punktesystems für den Besten Athleten,Ersätt Poängsystemet för Bästa Idrottare,Erstat Pointsystemet for Bedste Atlet,Korvaa Parhaan Urheilijan Pisteytysjärjestelmä,Erstatt Poengsystemet for Beste Utøver,Skift Stigaskipanina fyri Besta Ítróttarfólk,Helyettesítse a Legjobb Sportoló Pontozási Rendszert,Înlocuiește Sistemul de Punctaj pentru Cel Mai Bun Atlet,Zastąp System Punktacji Najlepszego Zawodnika,Փոխարինել Լավագույն Մարզիկի Միավորների Հաշվարկման Համակարգը,Override the Best Athlete Scoring System,تجاوز نظام تسجيل أفضل رياضي,Αντικατάσταση του Συστήματος Βαθμολόγησης Καλύτερου Αθλητή,最優秀選手スコアリングシステムを上書き,涵蓋最佳運動員評分系統,Parima sportlase hindamissüsteemi tühistamine,1236,,Override the Best Athlete Scoring System
AgeGroup.BestAthleteScoringSystemExplanation,"By default, the value set in the ""Non-Standard Competition Rules"" page will be used",,,"Por defecto, se utilizará el valor establecido en la página de ""Reglas de Competición No Estándar""",,"Por defecto, se utilizará el valor establecido en la página de ""Reglas de Competición No Estándar""","Por defecto, se utilizará el valor establecido en la página de ""Reglas de Competición No Estándar""","Por defecto, se utilizará el valor establecido en la página de ""Reglas de Competencia No Estándar""","Par défaut, la valeur définie dans la page des « Règles de Compétition Non Standard » sera utilisée",,,"Por padrão, será utilizado o valor definido na página de ""Regras de Competição Não Padrão""","По умолчанию будет использоваться значение, установленное на странице «Нестандартные Правила Соревнований»","Standardmäßig wird der auf der Seite „Nicht-Standard-Wettbewerbsregeln"" festgelegte Wert verwendet","Som standard kommer värdet som anges på sidan för ""Icke-Standardiserade Tävlingsregler"" att användas","Som standard vil værdien angivet på siden for ""Ikke-Standard Konkurrenceregler"" blive brugt","Oletusarvoisesti käytetään ""Epästandardit Kilpailusäännöt"" -sivulla määritettyä arvoa","Som standard vil verdien som er angitt på ""Ikke-Standard Konkurranseregler""-siden bli brukt","Sum standard verður virðið, ið er ásett á síðuni fyri ""Ikki-Standard Kappingartreytir"", brúkt","Alapértelmezés szerint a ""Nem Szabványos Versenyszabályok"" oldalon beállított érték lesz használva","În mod implicit, se va utiliza valoarea setată în pagina „Reguli de Competiție Non-Standard""","Domyślnie zostanie użyta wartość ustawiona na stronie „Niestandardowe Zasady Zawodów""","Լռելյայն, կօգտագործվի «Ոչ Ստանդարտ Մրցույթի Կանոններ» էջում սահմանված արժեքը","By default, the value set in the ""Non-Standard Competition Rules"" page will be used","افتراضياً، سيتم استخدام القيمة المحددة في صفحة ""قواعد المنافسة غير القياسية""","Από προεπιλογή, θα χρησιμοποιηθεί η τιμή που ορίζεται στη σελίδα «Μη Τυπικοί Κανόνες Διαγωνισμού»",通常は「非標準競技ルール」ページの設定値が使用されます,預設使用「非標準比賽規則」頁面設定的值,"Vaikimisi kasutatakse lehel ""Mittestandardsed võistlusreeglid"" määratud väärtust.",1237,,"By default, the value set in the ""Non-Standard Competition Rules"" page will be used"
Age,Age,,,Edad,,Edad,Edad,Edad,Âge,,,Idade,Возраст,Alter,Ålder,Alder,Ikä,Alder,Aldur,Kor,Vârstă,Wiek,Տարիք,גיל,العمر,Ηλικία,年齢,年齡,Vanus,1238,,Age
BestAthlete,Best Athlete,,,Mejor Atleta,,Mejor Atleta,Mejor Atleta,Mejor Atleta,Meilleur Athlète,,,Melhor Atleta,Лучший атлет,Bester Athlet,Bästa idrottare,Bedste atlet,Paras urheilija,Beste utøver,Bestur íþróttamaður,Legjobb sportoló,Cel mai bun atlet,Najlepszy sportowiec,Լավագույն մարզիկ,ספורטאי מוביל,أفضل رياضي,Καλύτερος αθλητής,最優秀選手,最佳運動員,Parim sportlane,1239,,Best Athlete
Break.MinutesBeforeCJ,"{0,choice,0#No break after Snatch|0<{0} minutes break after Snatch}",,,"{0,choice,0#Sin descanso después del Arranque|0<{0} minutos de descanso después del Arranque}",,"{0,choice,0#Sin descanso después del Arrancada|0<{0} minutos de descanso después del Arrancada}","{0,choice,0#Sin descanso después del Arranque|0<{0} minutos de descanso después del Arranque}","{0,choice,0#Sin descanso después del Arranque|0<{0} minutos de descanso después del Arranque}","{0,choice,0#Pas de pause après l''Arraché|0<{0} minutes de pause après l''Arraché}",,,"{0,choice,0#Sem pausa após o Arranco|0<{0} minutos de pausa após o Arranco}","{0,choice,0#Нет перерыва после рывка|0<{0} минут перерыва после рывка}","{0,choice,0#Keine Pause nach dem Reißen|0<{0} Minuten Pause nach dem Reißen}","{0,choice,0#Ingen paus efter ryck|0<{0} minuters paus efter ryck}","{0,choice,0#Ingen pause efter træk|0<{0} minutters pause efter træk}","{0,choice,0#Ei taukoa tempauksen jälkeen|0<{0} minuutin tauko tempauksen jälkeen}","{0,choice,0#Ingen pause etter rykk|0<{0} minutters pause etter rykk}","{0,choice,0#Eingin steðgur eftir rykkið|0<{0} minuttir steðga eftir rykkið}","{0,choice,0#Nincs szünet a szakítás után|0<{0} perc szünet a szakítás után}","{0,choice,0#Fără pauză după smuls|0<{0} minute pauză după smuls}","{0,choice,0#Bez przerwy po rwaniu|0<{0} minut przerwy po rwaniu}","{0,choice,0#Ոչ մի ընդմիջում պոկումից հետո|0<{0} րոպե ընդմիջում պոկումից հետո}","{0,choice,0#ללא הפסקה לאחר הנפה|0<{0} דקות הפסקה לאחר הנפה}","{0,choice,0#لا استراحة بعد الخطف|0<{0} دقائق استراحة بعد الخطف}","{0,choice,0#Χωρίς διάλειμμα μετά το αρασέ|0<{0} λεπτά διάλειμμα μετά το αρασέ}","{0,choice,0#スナッチ後は休憩なし|0<{0} 分間のスナッチ後休憩}","{0,choice,0#抓舉後無休息時間|0<{0} 分鐘休息}","{0,choice,0#Pärast rebimist pausi pole |0<{0} minutit pausi pärast rebimist}",1240,,"{0,choice,0#No break after Snatch|0<{0} minutes break after Snatch}"
CenterReferee,Center Referee,,,Árbitro Central,,Juez Central,Juez Central,Árbitro Central,Arbitre Central,,,Árbitro Central,Центральный судья,Hauptkampfrichter,Centraldomare,Centerdommer,Päätuomari,Sentraldommer,Central Referee,Középső bíró,Arbitru Central,Sędzia Główny,Կենտրոնական մրցավար,שופט מרכזי,الحكم المركزي,Κεντρικός Κριτής,センターレフェリー,中間裁判,Keskmine kohtunik,1241,,Center Referee
AwardMedals,Award medals?,,,¿Entregar medallas?,,¿Entregar medallas?,¿Entregar medallas?,¿Entregar medallas?,Décerner des médailles?,,,Entregar medalhas?,Вручать медали?,Medaillen vergeben?,Dela ut medaljer?,Uddel medaljer?,Jakaa mitaleita?,Dele ut medaljer?,Veita heiðursmerki?,Érmeket kiosztani?,Acorda medalii?,Przyznawać medale?,Պարգևատրե՞լ մեդալներ,הענקת מדליות?,منح ميداليات؟,Απονέμειν μετάλλια;,メダルを授与しますか？,頒發獎牌？,Anna medalid?,1242,,Award medals?
STOP,STOP,,,ALTO,,STOP,ALTO,PARE,STOP,ARRÊT,STOP,PARE,СТОП,HALT,STOPP,STOP,STOP,STOPP,STEÐGA,ÁLLJ,STOP,STOP,ԿԱՆԳ,עצור,توقف,ΣΤΟΠ,停止,停止,STOPP,1243,,STOP
Competitions,Competitions,,,Competiciones,,Competiciones,Competiciones,Competencias,Compétitions,,,Competições,Соревнования,Wettkämpfe,Tävlingar,Konkurrencer,Kilpailut,Konkurranser,Kappingar,Versenyek,Competiții,Zawody,Մրցույթներ,תחרויות,منافسات,Αγώνες,大会,比賽,Võistlused,1244,,Competitions
Competitions.Abbr,Comps,,,Comps.,,Comps.,Comps.,Comps.,Comp.,,,Comp.,Сор.,Wettk.,Tävl.,Konk.,Kilp.,Konk.,Kapp.,Vers.,Comp.,Zaw.,Մրց.,תחר.,منافس.,Αγών.,大会,比較,Võistlused,1245,,Comps
SideReferee,Side Referee,,,Árbitro Lateral,,Árbitro Lateral,Árbitro Lateral,Árbitro Lateral,Arbitre Latéral,,,Árbitro Lateral,Боковой Судья,Seitenkampfrichter,Sidodomare,Sidedommer,Sivutuomari,Sidedommer,Síðudómari,Oldalszéli Bíró,Arbitru Lateral,Sędzia Boczny,Կողային մրցավար,שופט צד,حكم جانبي,Πλευρικός Κριτής,サイドレフェリー,側邊裁判,Külgmine kohtunik,1246,,Side Referee
ReserveReferee,Reserve Referee,,,Árbitro de Reserva,,Árbitro de Reserva,Árbitro de Reserva,Árbitro de Reserva,Arbitre de Réserve,,,Árbitro de Reserva,Запасной Судья,Ersatzkampfrichter,Reservdomare,Reservedommer,Varatuomari,Reservedommer,Varadómari,Tartalék Bíró,Arbitru de Rezervă,Sędzia Rezerwowy,Պահեստային մրցավար,שופט רזרבה,حكم احتياطي,Εφεδρικός Κριτής,予備審判,替補裁判,Varukohtunik,1247,,Reserve Referee
ReserveJury,Reserve Jury,,,Jurado de Reserva,,Jurado de Reserva,Jurado de Reserva,Jurado de Reserva,Jury de Réserve,,,Júri de Reserva,Запасное Жюри,Ersatzjury,Reservjury,Reservejury,Varatuomaristo,Reservejury,Varadómsnevnd,Tartalék Zsűri,Juriu de Rezervă,Jury Rezerwowe,Պահեստային Ժյուրի,חבר מושבעים רזרבה,لجنة تحكيم احتياطية,Εφεδρικό Κριτικό Συμβούλιο,予備ジュリー,替補審判委員,Reservžürii,1248,,Reserve Jury
ScaleWeight,Weight Read on Scale,,,Peso Leído en la Báscula,,Peso Leído en la Báscula,Peso Leído en la Báscula,Peso Leído en la Báscula,Poids lu sur la Balance,,,Peso Lido na Balança,"Вес, Считанный с Весов",Auf der Waage Abgelesenes Gewicht,Vikt Avläst på Våg,Vægt Aflæst på Vægt,Vaa'alla Luettu Paino,Vekt Lest på Vekt,Vekt Lisin á Vekt,Mérlegről Leolvasott Súly,Greutatea Citită pe Cântar,Waga Odczytana z Wagi,Կշեռքի քաշ,משקל שנקרא על המאזניים,الوزن المقروء على الميزان,Βάρος που Διαβάζεται στη Ζυγαριά,体重計測値,體重計上的讀數,Kaalu näit,1249,,Weight Read on Scale
BodyWeightWithDeduction,Adjusted Body Weight,,,Peso Corporal Ajustado,,Peso Corporal Ajustado,Peso Corporal Ajustado,Peso Corporal Ajustado,Poids Corporel Ajusté,,,Peso Corporal Ajustado,Скорректированный Вес Тела,Angepasstes Körpergewicht,Justerad Kroppsvikt,Justeret Kropsvægt,Mukautettu Ruumiinpaino,Justert Kroppsvekt,Lagaður Kroppsþyngd,Módosított Testsúly,Greutatea Corporală Ajustată,Skorygowana Masa Ciała,Ճշգրտված անձնական քաշ,משקל גוף מותאם,وزن الجسم المعدل,Προσαρμοσμένο Σωματικό Βάρος,補正体重,調整體重,Korrigeeritud kehakaal,1250,,Adjusted Body Weight
Competition.isDeduct250g,Enter the body weight as read on scale (program subtracts 250g),,,Ingrese el peso corporal tal como se lee en la báscula (el programa resta 250g),,Introduzca el peso corporal tal como se lee en la báscula (el programa resta 250g),Ingrese el peso corporal tal como se lee en la báscula (el programa resta 250g),Ingrese el peso corporal tal como se lee en la báscula (el programa resta 250g),Entrez le poids corporel tel qu'affiché sur la balance (le programme soustrait 250g),,,Digite o peso corporal conforme lido na balança (o programa subtrai 250g),"Введите вес тела, как показано на весах (программа вычитает 250g)",Geben Sie das Körpergewicht wie auf der Waage abgelesen ein (Programm zieht 250g ab),Ange kroppsvikten som läst på vågen (programmet drar av 250g),Indtast kropsvægten som aflæst på vægten (programmet trækker 250g fra),Anna ruumiin paino kuten se on luettu vaakalla (ohjelma vähentää 250g),Skriv inn kroppsvekten som lest på vekten (programmet trekker fra 250g),Skriva kropsvikinina sum lesið á vektini (forritið dregur 250g frá),"Adja meg a testsúlyt úgy, ahogy a mérlegről leolvasható (a program 250g-ot von ki)",Introduceți greutatea corporală așa cum se citește pe cântar (programul scade 250g),Wprowadź wagę ciała odczytaną z wagi (program odejmuje 250g),"Մուտքագրեք մարմնի քաշը, ինչպես կարդացվում է կշռաչափից (ծրագիրը հանում է 250գ)",הזן משקל גוף כפי שנקרא על המאזניים (התוכנה מפחיתה 250 גרם),أدخل وزن الجسم كما هو مقروء على الميزان (البرنامج يطرح 250 غرام),Εισαγάγετε το σωματικό βάρος όπως διαβάζεται στη ζυγαριά (το πρόγραμμα αφαιρεί 250g),体重計で読む体重を入力してください（プログラムは250gを差し引きます）,輸入秤上顯示的體重（程式減去 250 克）,"Sisestage keha kaal, nagu see on kaalul näidatud (programm lahutab 250g)",1251,,Enter the body weight as read on scale (program subtracts 250g)
SBDE.SessionOptions_DELETE_SESSIONS,Delete all existing sessions before importing athletes,,,Eliminar todas las tandas existentes antes de importar atletas,,Eliminar todas las tandas existentes antes de importar atletas,Eliminar todas las tandas existentes antes de importar atletas,Eliminar todas las tandas existentes antes de importar atletas,Supprimer toutes les séances existantes avant d'importer les athlètes,,,Excluir todas as sessões existentes antes de importar atletas,Удалить все существующие сессии перед импортом спортсменов,Alle bestehenden Sitzungen vor dem Import der Athleten löschen,Ta bort alla befintliga sessioner innan du importerar idrottare,Slet alle eksisterende sessioner før import af atleter,Poista kaikki olemassa olevat istunnot ennen urheilijoiden tuontia,Slett alle eksisterende økter før import av utøvere,Strika allar verandi sessioner áðrenn ítróttalingir verða innfluttir,Törölje az összes meglévő ülést a sportolók importálása előtt,Ștergeți toate sesiunile existente înainte de importarea sportivilor,Usuń wszystkie istniejące sesje przed importowaniem sportowców,Ջնջել բոլոր գոյություն ունեցող նիստերը մարզիկների ներմուծումից առաջ,מחק את כל הסשנים הקיימים לפני ייבוא הספורטאים,احذف جميع الجلسات الموجودة قبل استيراد الرياضيين,Διαγράψτε όλες τις υπάρχουσες συνεδρίες πριν από την εισαγωγή αθλητών,アスリートをインポートする前に既存のセッションをすべて削除,導入運動員之前刪除所有現有會話,Kustuta kõik olemasolevad grupid enne sportlaste importimist,1252,,Delete all existing sessions before importing athletes
JuryNotification.ACK,"OK, Close notification",,,"OK, Cerrar notificación",,"OK, Cerrar notificación","OK, Cerrar notificación","OK, Cerrar notificación","OK, Fermer la notification",,,"OK, Fechar notificação","OK, Закрыть уведомление","OK, Benachrichtigung schließen","OK, Stäng meddelande","OK, Luk besked","OK, Sulje ilmoitus","OK, Lukk varsel","OK, Lat til kunngerð","OK, Értesítés bezárása","OK, Închide notificarea","OK, Zamknij powiadomienie","OK, Փակել ծանուցումը","OK, סגור התראה",OK، إغلاق الإشعار,"OK, Κλείσιμο ειδοποίησης",OK、通知を閉じる,好的，關閉通知,"OK, sulge teavitus",1253,,"OK, Close notification"
Config.publicStylesLabel,Styles for Public Scoreboards,,,Estilos para Marcadores Públicos,,Estilos para Marcadores Públicos,Estilos para Marcadores Públicos,Estilos para Marcadores Públicos,Styles pour Tableaux de Bord Publics,,,Estilos para Placares Públicos,Стили для Публичных Табло,Stile für Öffentliche Anzeigetafeln,Stilar för Publika Resultattavlor,Stilarter til Offentlige Resultattavler,Tyylit Julkisille Tulosnäytöille,Stiler for Offentlige Resultattavler,Stílir fyri Almennar Úrslitartavlur,Stílusok a Nyilvános Eredményjelzőkhöz,Stiluri pentru Tablourile de Scor Publice,Style dla Publicznych Tablic Wyników,Ոճեր Հանրային Արդյունքների Տախտակների Համար,סגנונות עבור לוחות תוצאות ציבוריים,أنماط لوحات النتائج العامة,Στυλ για Δημόσιους Πίνακες Αποτελεσμάτων,公開スコアボードのスタイル,公共記分板的樣式,Avalike punktitabelite stiilid,1254,,Styles for Public Scoreboards
AttemptBoard.TeamFormat,"{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}",,,"{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}",,"{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}",,,"{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}","{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}",{0，選擇，0#{1}|1#{1}，{2}|2#{1}，{3}|3#{1}，{2}，{3}},"{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}",1255,,"{0, choice, 0#{1}|1#{1}, {2}|2#{1}, {3}|3#{1}, {2}, {3}}"
Leaders.PreviousGroups,Leaders from Previous Sessions,,,Líderes de Tandas Anteriores,,Líderes de Tandas Anteriores,Líderes de Tandas Anteriores,Líderes de Tandas Anteriores,Leaders des Sessions Précédentes,Meneurs des Sessions Précédentes,Leaders des Plateaux Précédents,Líderes de Batterias Anteriores,Лидеры предыдущих сессий,Anführer vorheriger Sessions,Ledare från tidigare sessioner,Ledere fra tidligere sessioner,Johtajat aikaisemmista sessioista,Ledere fra tidligere sesjoner,Leiðarar frá fyrri sessions,Vezetők korábbi sessionökből,Lideri din sesiunile anterioare,Liderzy z poprzednich sesji,Նախկին սեսիաներից առաջնորդներ,מובילים מסשנים קודמים,قادة من جلسات سابقة,Ηγέτες από προηγούμενες συνεδρίες,前回セッションのリーダー,歷屆領導人,Eelmiste gruppide liidrid,1256,,Leaders from Previous Sessions
JuryDecisions.Title,Jury Decisions,,,Decisiones del Jurado,,Decisiones del Jurado,Decisiones del Jurado,Decisiones del Jurado,Décisions du Jury,Décisions du Jury,Décisions du Jury,Decisões do Júri,Решения жюри,Jury-Entscheidungen,Juryns beslut,Juryafgørelser,Tuomariston päätökset,Juryavgjørelser,Dómaradómar,Zsűri döntései,Deciziile juriului,Decyzje jury,Ժյուրիի որոշումներ,החלטות השופטים,قرارات المحكمين,Αποφάσεις κριτικής επιτροπής,審判団の決定,審判決定,Žürii otsused,1257,,Jury Decisions
TestButtons.DecisionFullUpdate,Referee Decisions: {0} {1} {2},,,Decisiones de Árbitros: {0} {1} {2},,Decisiones de Árbitros: {0} {1} {2},Decisiones de Árbitros: {0} {1} {2},Decisiones de Árbitros: {0} {1} {2},Décisions des Arbitres: {0} {1} {2},Décisions des Arbitres: {0} {1} {2},Décisions des Arbitres: {0} {1} {2},Decisões dos Árbitros: {0} {1} {2},Решения судей: {0} {1} {2},Kampfrichter-Entscheidungen: {0} {1} {2},Domarbeslut: {0} {1} {2},Dommerafgørelser: {0} {1} {2},Tuomareiden päätökset: {0} {1} {2},Dommeravgjørelser: {0} {1} {2},Dómaraákvarðanir: {0} {1} {2},Bírói döntések: {0} {1} {2},Deciziile arbitrilor: {0} {1} {2},Decyzje sędziów: {0} {1} {2},Դատավորների որոշումներ: {0} {1} {2},החלטות השופטים: {0} {1} {2},قرارات الحكام: {0} {1} {2},Αποφάσεις διαιτητών: {0} {1} {2},審判の決定: {0} {1} {2},裁判判決：{0} {1} {2},Kohtunike otsused: {0} {1} {2},1258,,Referee Decisions: {0} {1} {2}
TestButtons.DecisionUpdate,Referee {0} decision: {1},,,Árbitro {0} decisión: {1},,Árbitro {0} decisión: {1},Árbitro {0} decisión: {1},Árbitro {0} decisión: {1},Arbitre {0} décision: {1},Arbitre {0} décision: {1},Arbitre {0} décision: {1},Árbitro {0} decisão: {1},Судья {0} решение: {1},Kampfrichter {0} Entscheidung: {1},Domare {0} beslut: {1},Dommer {0} afgørelse: {1},Tuomari {0} päätös: {1},Dommer {0} avgjørelse: {1},Dómari {0} ákvörðun: {1},Bíró {0} döntés: {1},Arbitru {0} decizie: {1},Sędzia {0} decyzja: {1},Դատավոր {0} որոշում: {1},שופט {0} החלטה: {1},حكم {0} قرار: {1},Διαιτητής {0} απόφαση: {1},審判{0}の決定: {1},裁判{0}判定：{1},Kohtuniku {0} otsus: {1},1259,,Referee {0} decision: {1}
TestButtons.TimeStarted,Start the clock,,,Iniciar el cronómetro,,Iniciar el cronómetro,Iniciar el cronómetro,Iniciar el cronómetro,Démarrer l'horloge,Démarrer l'horloge,Démarrer l'horloge,Iniciar o cronómetro,Запустить часы,Uhr starten,Starta klockan,Start uret,Käynnistä kello,Start klokka,Byrja klukkuna,Óra indítása,Pornește ceasul,Uruchom zegar,Ժամանակի սկսում,התחל את השעון,ابدأ الساعة,Ξεκίνα το ρολόι,時計を開始,啟動計時器,Käivita kell,1260,,Start the clock
TestButtons.TimeStopped,Stop the clock,,,Parar el cronómetro,,Parar el cronómetro,Parar el cronómetro,Detener el cronómetro,Arrêter l'horloge,Arrêter l'horloge,Arrêter l'horloge,Parar o cronómetro,Остановить часы,Uhr stoppen,Stoppa klockan,Stop uret,Pysäytä kello,Stopp klokka,Stoppa klukkuna,Óra megállítása,Oprește ceasul,Zatrzymaj zegar,Ժամանակը կանգնեցնել,עצור את השעון,أوقف الساعة,Σταμάτα το ρολόι,時計を停止,停止計時器,Peata kell,1261,,Stop the clock
TestButtons.ForceTime,Setting the clock: {0},,,Configurando el cronómetro: {0},,Configurando el cronómetro: {0},Configurando el cronómetro: {0},Configurando el cronómetro: {0},Réglage de l'horloge: {0},Réglage de l'horloge: {0},Réglage de l'horloge: {0},Configurando o cronómetro: {0},Установка часов: {0},Uhr einstellen: {0},Ställer klockan: {0},Indstiller uret: {0},Kellon asetus: {0},Setter klokka: {0},Að stilla klukkuna: {0},Óra beállítása: {0},Setarea ceasului: {0},Ustawianie zegara: {0},Ժամը կարգավորել: {0},כוונת השעון: {0},ضبط الساعة: {0},Ρύθμιση ρολογιού: {0},時計の設定: {0},設定計時器：{0},Kella seadistamine: {0},1262,,Setting the clock: {0}
TestButtons.BreakStarted,Starting Break: {0},,,Iniciando Descanso: {0},,Iniciando Descanso: {0},Iniciando Descanso: {0},Iniciando Descanso: {0},Début de Pause: {0},Début de Pause: {0},Début de Pause: {0},Iniciando Intervalo: {0},Начало перерыва: {0},Pause beginnt: {0},Startar paus: {0},Starter pause: {0},Tauon aloitus: {0},Starter pause: {0},Byrjar hlé: {0},Szünet kezdete: {0},Începe pauza: {0},Rozpoczęcie przerwy: {0},Ընդմիջման սկսում: {0},התחלת הפסקה: {0},بدء الاستراحة: {0},Έναρξη διαλείμματος: {0},休憩開始: {0},開始休息：{0},Alusta pausi: {0},1263,,Starting Break: {0}
TestButtons.JuryMemberDecisionUpdate,Jury Member {0} decision: {1},,,Miembro del Jurado {0} decisión: {1},,Miembro del Jurado {0} decisión: {1},Miembro del Jurado {0} decisión: {1},Miembro del Jurado {0} decisión: {1},Membre du Jury {0} décision: {1},Membre du Jury {0} décision: {1},Membre du Jury {0} décision: {1},Membro do Júri {0} decisão: {1},Член жюри {0} решение: {1},Jury-Mitglied {0} Entscheidung: {1},Jurymedlem {0} beslut: {1},Jurymedlem {0} afgørelse: {1},Tuomariston jäsen {0} päätös: {1},Jurymedlem {0} avgjørelse: {1},Dómaramaður {0} ákvörðun: {1},Zsűritag {0} döntés: {1},Membru juriu {0} decizie: {1},Członek jury {0} decyzja: {1},Ժյուրիի անդամ {0} որոշում: {1},חבר מושבעים {0} החלטה: {1},عضو المحكمة {0} قرار: {1},Μέλος κριτικής επιτροπής {0} απόφαση: {1},審判団メンバー{0}の決定: {1},審判{0}的決定：{1},Žüriiliikme {0} otsus: {1},1264,,Jury Member {0} decision: {1}
TestButtons.JuryDecision,Jury Decision: {0},,,Decisión del Jurado: {0},,Decisión del Jurado: {0},Decisión del Jurado: {0},Decisión del Jurado: {0},Décision du Jury: {0},Décision du Jury: {0},Décision du Jury: {0},Decisão do Júri: {0},Решение жюри: {0},Jury-Entscheidung: {0},Juryns beslut: {0},Juryafgørelse: {0},Tuomariston päätös: {0},Juryavgjørelse: {0},Dómaradómur: {0},Zsűri döntése: {0},Decizia juriului: {0},Decyzja jury: {0},Ժյուրիի որոշում: {0},החלטת השופטים: {0},قرار المحكمين: {0},Απόφαση κριτικής επιτροπής: {0},審判団の決定: {0},審判決定：{0},Žürii otsus: {0},1265,,Jury Decision: {0}
TestButtons.SummonReferee,Summon Referee: {0},,,Convocar Árbitro: {0},,Convocar Árbitro: {0},Convocar Árbitro: {0},Convocar Árbitro: {0},Convoquer Arbitre: {0},Convoquer Arbitre: {0},Convoquer Arbitre: {0},Convocar Árbitro: {0},Вызвать судью: {0},Kampfrichter rufen: {0},Kalla domare: {0},Tilkald dommer: {0},Kutsu tuomari: {0},Innkall dommer: {0},Kalla dómara: {0},Bíró behívása: {0},Convocare arbitru: {0},Wezwać sędziego: {0},Գանգատել դատավոր: {0},זמן שופט: {0},استدعاء الحكم: {0},Κάλεσμα διαιτητή: {0},審判を召集: {0},召喚裁判：{0},Kutsu kohtunik: {0},1266,,Summon Referee: {0}
TestButtons.GoodLift,White,,,Blanco,,Blanco,Blanco,Blanco,Blanc,Blanc,Blanc,Branco,Белый,Weiß,Vit,Hvid,Valkoinen,Hvit,Hvítur,Fehér,Alb,Biały,Սպիտակ,לבן,أبيض,Λευκό,白,白色,Valge,1267,,White
