key,en,hy,es,es_ES,es_SV,es_EC,fr,fr_CA,fr_FR,da,ru,uk,sv,de,pt,,xx,pl,key,en
AnnouncerSelectsGroup,The current group for the platform is selected on the <b><i>Announcer</i></b> screen<br>,Խումբը ընտրվում է <b><i> Գլխավոր քարտուղար </i></b> էկրանին<br>,El grupo actual para la tarima se selecciona en la <b><i>Anunciador</i></b> pantalla<br>,El grupo actual para la tarima se selecciona en la <b><i>Anunciador</i></b> pantalla<br>,El grupo actual para la plataforma se selecciona en la <b><i>Anunciador</i></b> pantalla<br>,El grupo actual para la plataforma se selecciona en la pantalla<br><b><i>Anunciador</i></b>,Le groupe courant pour la plateforme est déterminé par l'<b><i>annonceur</i></b><br>,,,Nuværende gruppe for platformen vælges på <b><i>Speaker</i></b> skærm<br>,Поток выбирается на экране <b><i>судьи-информатора</i></b><br>,Потік обирається на екрані <b><i>судді-інформатора</i></b><br>,Nuvarande gruppen för plattformen är vald på <b><i>Speaker</i></b> skärmen<br>,Die aktuelle Gruppe für die jeweilige Bohle wird auf der<b><i> Sprecher</i> Anzeige</b> ausgewählt.<br>,O grupo atual da plataforma é selecionado na  tela do <b> <i> Locutor </i> </b>.<br>,,520,Aktualna grupa The current group for the platform is selected on the <b><i>Spiker</i></b> widok<br>,AnnouncerSelectsGroup,The current group for the platform is selected on the <b><i>Announcer</i></b> screen<br>
Registration.emptyNameWarning,The program stops reading at the first empty family name - use ? if family name unknown,"Ծրագիրը դադարում է կարդալ առաջին դատարկ ազգանունով, օգտագործեք հարցական նշան (?), եթե ազգանունն անհայտ է",El programa deja de leer en el primer apellido vacío - usar ? si se desconoce el apellido,El programa deja de leer en el primer apellido vacío - usar ? si se desconoce el apellido,,,Le programme cesse de lire au premier nom de famille vide - utiliser ? si le nom est inconnu,,,Programmet stopper indlæsning ved første tomme efternavn - brug ? hvis efternavn er ukendt,The program stops reading at the first empty family name - use ? if family name unknown,"Програма перестає читати при першому порожньому прізвищі, використовуйте знак питання (?), якщо прізвище невідомо",The program stops reading at the first empty family name - use ? if family name unknown,Das Programm hört beim ersten leeren Familiennamen auf zu lesen - ? verwenden wenn Familienname unbekannt,Nome,,521,The program stops reading at the first empty family name - use ? if family name unknown,Registration.emptyNameWarning,The program stops reading at the first empty family name - use ? if family name unknown
WrittenJFL,"The software is written and maintained by Jean-François Lamy, IWF International Technical Official Category 1.",Այս համակարգը մշակվել և աշխատում է Ժան Ֆրանսուա Լամիի կողմից: IWF 1-ին միջազգային կարգի մրցավար:,"El software está escrito y mantenido por Jean-François Lamy, IWF International Technical Official Category 1.","El software está escrito y mantenido por Jean-François Lamy, IWF International Technical Official Category 1.",,,"Le système a été écrit et est mis à jour par Jean-François Lamy, Officiel Technique IWF catégorie 1",,,"The software is written and maintained by Jean-François Lamy, IWF International Technical Official Category 1.",Данная система разработана и поддерживается Жан-Франсуа Лами. IWF Судья 1-й Международной Категории.,"Дана система разроблена та підтримується Жан-Франсуа Ламі, IWF суддя 1-ї Міжнародної категорії.","Programvaran är skriven och underhållen av Jean-Fran√ßois Lamy, IWFs internationella tekniska officiella kategori 1.","Die Software wird von Jean-François Lamy, IWF International Technical Official Category 1, geschrieben und gewartet.","O software foi escrito e mantido por Jean-François Lamy, Categoria IWF Técnico Internacional Oficial 1.",,522,"The software is written and maintained by Jean-François Lamy, IWF International Technical Official Category 1.",WrittenJFL,"The software is written and maintained by Jean-François Lamy, IWF International Technical Official Category 1."
ChangesGroupEverywhere,This changes the current group for all displays and screens associated with the platform,"Խմբի փոփոխությունը կընդունվի բոլոր էկրանների համար, որոնք կապված են <br> հարթակին ",Esto cambia el grupo actual para todas los dispositivos y pantallas asociadas con la tarima,Esto cambia el grupo actual para todas los dispositivos y pantallas asociadas con la tarima,Esto cambia el grupo actual para todas las pantallas y pantallas asociadas con la plataforma,Esto cambia el grupo actual para todas las pantallas y pantallas asociadas con la plataforma,Ceci change le groupe courant sur tous les écrans et affichages associés à ce plateau,,,Dette ændrer nuværende gruppe for alle displays og skærme tilknyttet platformen,Изменение потока применится для всех экранов связанных с помостом<br>,"Зміна потоку застосується до всіх табло, пов’язаних з помостом<br>",Detta ändrar den aktuella gruppen för alla skärmar och skärmar associerade med plattformen,Das ändert die Gruppe auf allen Bildschirmen und Anzeigen für diese Bohle,Isso mudará o grupo atual para todos os monitores e telas associadas com a plataforma,,523,Spowoduje to zmianę bieżącej grupy dla wszystkich wyświetlaczy i ekranów powiązanych z pomostem,ChangesGroupEverywhere,This changes the current group for all displays and screens associated with the platform
Warning_GroupLifting,This group is currently lifting on platform,Խմբի մրցումները սկսվեցին,Este grupo actualmente está levantando en la tarima,Este grupo actualmente está levantando en la tarima,Este grupo actualmente esta levantando en la plataforma,Este grupo actualmente esta levantando en la plataforma,Ce groupe est actuellement en compétition sur le plateau,,,Denne gruppe løfter pt på platformen,Соревнования потока начались,Змагання потоку розпочались,Denna grupp lyfter på platform,Diese Gruppe hebt momentan auf Bohle,Este grupo está atualmente competindo na plataforma,,524,This group is currently lifting on platform,Warning_GroupLifting,This group is currently lifting on platform
Copyright2009,This software is Copyright © 2009-,Այս ծրագիրը հանդիսանում է Հեղինակային իրավունք © 2009-,This software is Copyright © 2009-,This software is Copyright © 2009-,,,Ce logiciel est sous droit d'auteur - Copyright © 2009-,,,This software is Copyright © 2009-,Это программное обеспечение является авторским правом © 2009-,Це програмне забезпечення захищене авторським правом © 2009-,Denna programvara är upphovsrättsskyddad ¬© 2009-,Diese Software ist Copyright 2009-,Este software é protegido por Copyright © 2009-,,525,This software is Copyright © 2009-,Copyright2009,This software is Copyright © 2009-
LicenseUsed,This software is made available under the <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,Այս ծրագիրը հասանելի է լիցենզիայի տակ <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,Este software está disponible bajo la <a href='https://opensource.org/licenses/NPOSL-3.0'> Licencia de software abierta sin fines de lucro 3.0 </a>.,Este software está disponible bajo la <a href='https://opensource.org/licenses/NPOSL-3.0'> Licencia de software abierta sin fines de lucro 3.0 </a>.,,,Ce logiciel est disponible selon les termes de la licence <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,,,This software is made available under the <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,Это программное обеспечение доступно под лицензией <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,Це програмне забезпечення доступно під ліцензією <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,This software is made available under the <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,Diese Software wird bereitgestellt unter der <a href='https://opensource.org/licenses/NPOSL-3.0'>Gemeinnützigen offenen Softwarelizenz 3.0</a>.,Este software é disponibilizado sob a <a href='https://opensource.org/licenses/NPOSL-3.0'> Non-Profit Open Software License 3.0</a>.,,526,This software is made available under the <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.,LicenseUsed,This software is made available under the <a href='https://opensource.org/licenses/NPOSL-3.0'>Non-Profit Open Software License 3.0</a>.
TCRRCompliance,This software is meant to comply with the IWF Technical Competition Rules and Regulations (TCRR) and with the Masters Weightlifting rules,"Այս ծրագրային ապահովման նախատեսված է տեխնիկական կանոնների հետևման համար և մրցումների կանոնների, որը սահմանել է IWF-ն (TCRR) և վետերանների ծանրամարտի մրցումների անցկացման համար",Este software está destinado a cumplir con las reglas y regulaciones técnicas de la IWF y (TCRR) y con las reglas Masters Weightlifting,Este software está destinado a cumplir con las reglas y regulaciones técnicas de la IWF y (TCRR) y con las reglas Masters Weightlifting,Este software esta destinado a cumplir con las reglas y regulaciones tecnicas de la IWF y (TCRR) y con Masters Weightlifting reglas,Este software esta destinado a cumplir con las reglas y regulaciones tecnicas de la IWF y (TCRR) y con reglas Masters,"Ce logiciel respecte les règles techniques de compétition IWF (TCRR) en vigueur à sa publication, ainsi que les règles de la fédération Masters Weightlifting.",,,This software is meant to comply with the IWF Technical Competition Rules and Regulations (TCRR) and with the Masters Weightlifting rules,Это программное обеспечение предназначено для соблюдения технических правил и правил соревнований IWF (TCRR) и правил тяжелой атлетики для ветеранов,Це програмне забезпечення призначене для дотримання технічних правил і правил змагань IWF (TCRR) і правил важкої атлетики для майстрів (ветеранів),This software is meant to comply with the IWF Technical Competition Rules and Regulations (TCRR) and with the Masters Weightlifting rules,Diese Software muss den Technischen Wettbewerbsregeln und -bestimmungen (TCRR) der IWF und den Masters Weightlifting-Regeln entsprechen,Este software destina-se a cumprir as Regras Técnicas IWF competição e Regulamentos (TCRR) e com as regras Mestres do Halterofilismo e ,,527,This software is meant to comply with the IWF Technical Competition Rules and Regulations (TCRR) and with the Masters Weightlifting rules,TCRRCompliance,This software is meant to comply with the IWF Technical Competition Rules and Regulations (TCRR) and with the Masters Weightlifting rules
Warning_ClearAthleteLifts,This will clear all lifting data for the athletes currently displayed except for initial declarations.<br>Are you sure?,"Սա կջնջի մարզիկների փորձի բոլոր տվյալները, որոնք ներկայումս ցուցադրվում են ՝ չհաշված հայտարարագրված քաշըը: <br> Վստա՞հ եք",Esto borrará los datos de levantamiento de los atletas que se muestran actualmente excepto las declaraciones iniciales.<br>Estas seguro?,Esto borrará los datos de levantamiento de los atletas que se muestran actualmente excepto las declaraciones iniciales.<br>Estas seguro?,,,Ceci va vider les essais pour les athlètes actuellement affichés<br>Êtes-vous certain?,,,Dette vil slette alle løft for de viste atleter bortset fra deres startvægte.<br>Er du sikker?,"Это очистит все данные о попытках для спортсменов, которые в настоящее время отображаются, за исключением заявленных весов. <br>Вы уверены?","Це видалить усі дані про спроби для спортсменів, які в даний час відображаються, за винятком початкових ваг.<br>Ви впевнені?",Detta kommer att rensa all lyftdata för lyftarna som visas förutom ingångsvikterna. <br> Är du säker?,Dadurch werden alle Heberdaten für die aktuell angezeigten Athleten mit Ausnahme der Erstdeklarationen gelöscht.<br>Bist du sicher?,"Isso apagará todos os dados de levantamento dos atletas exibidos atualmente, exceto as declarações iniciais.<br>Você tem certeza?",,528,This will clear all lifting data for the athletes currently displayed except for initial declarations.<br>Are you sure?,Warning_ClearAthleteLifts,This will clear all lifting data for the athletes currently displayed except for initial declarations.<br>Are you sure?
Warning_DeleteAthletes,This will delete the athletes currently displayed from the database.<br>Are you sure?,"Սա կբերի մարզիկների ջնջմանը, որոնք ցուցադրված են պաշարների շտեմարանում: <br>Դուք վստա՞հ եք",Esto eliminara los atletas que se muestran actualmente de la base de datos.<br>Estós Seguro?,Esto eliminara los atletas que se muestran actualmente de la base de datos.<br>Estós Seguro?,,,Ceci va effacer les athlètes actuellement affichés<br>Êtes-vous certain?,,,Dette vil slette de viste atleter fra databasen.<br>Er du sikker?,"Это приведет к удалению спортсменов, отображаемых в настоящее время из базы данных <br>Вы уверены?","Це призведе до видалення спортсменів, які відображаються в даний час, з бази даних.<br>Ви впевнені?
",Detta kommer att radera alla lyftare som visas från databasen. <br> Är du säker?,Dadurch werden die aktuell angezeigten Athleten aus der Datenbank gelöscht.<br>Bist du sicher?,Isso excluirá todos os dados dos atletas nos grupos atualmente selecionados. <br> Você tem certeza?,,529,This will delete the athletes currently displayed from the database.<br>Are you sure?,Warning_DeleteAthletes,This will delete the athletes currently displayed from the database.<br>Are you sure?
PublicMsg.TimeBeforeSnatch,Time before first lift,Պոկումի սկսում:,Tiempo Antes del Primer Levantamiento,Tiempo Antes del Primer Levantamiento,,,Décompte avant le premier lever,,,Tid inden første løft,Начало упражнения рывок через:,Початок вправи ривок через:,Tid tills första lyft,Zeit bis zur ersten Hebung,Tempo Antes do Primeiro Levantador,,530,Time before first lift,PublicMsg.TimeBeforeSnatch,Time before first lift
PublicMsg.BeforeIntroduction,Time before introduction,Մարզիկների ներկայացումը:,Tiempo antes de la Introducción,Tiempo antes de la Introducción,,,Décompte avant la présentation,,,Tid inden præsentation,Представление спортсменов через:,Представлення спортсменів через:,Tid tills defilering,Zeit bis zur Vorstellung,Tempo Antes da Introdução,,531,Time before introduction,PublicMsg.BeforeIntroduction,Time before introduction
PublicMsg.TimeBeforeCJ,Time before next lift,Հրումի սկսում:,Tiempo Antes del Próximo Levantamiento,Tiempo Antes del Próximo Levantamiento,,,Décompte avant le prochain lever,,,Tid inden næste løft,Начало упражнения толчок через:,Початок вправи поштовх через:,Tid till nästa lyft,Zeit bis zur nächsten Hebung,Tempo Antes do Proximo Levantador,,532,Time before next lift,PublicMsg.TimeBeforeCJ,Time before next lift
Timekeeper,Timekeeper,Ժամապահ,Cronometrador,Cronometrador,,Cronometrista,Chronométreur,,,Tidtager,Судья-хронометрист,Суддя-хронометрист,Tidtagare,Zeitnehmer,Cronômetro,,533,Timekeeper,Timekeeper,Timekeeper
TimingStatistics,Timing Statistics,Վիճակագրություն,Estadísticas de Tiempo,Estadísticas de Tiempo,,,Statistiques de durée,,,Timing Statistik,Статистика,Статистика,Tidsstatistik,Zeitstatistik,Estatísticas de Tempo,,534,Timing Statistics,TimingStatistics,Timing Statistics
Scoreboard.TopSinclair,Top Sinclair,Թոփ Սինկլեր,Top Sinclair,Top Sinclair,,,Meilleurs Sinclair,,,Top Sinclair,Результаты (Синклер),ТОП Сінклер,Bästa Sinclair,Top Sinclair,Top Sinclair,,535,Top Sinclair,Scoreboard.TopSinclair,Top Sinclair
Results.TopSinclair,Top Sinclair,Սինկլեր արդյունք,Top Sinclair,Top Sinclair,,,Meilleurs Sinclair,,,Top Sinclair,Результаты (Синклер),ТОП Сінклер,Bästa Sinclair,Top Sinclair,Top Sinclair,,536,Top Sinclair,Results.TopSinclair,Top Sinclair
Results.TopSinclairMen,Top Sinclair - Men,Սինկլեր-տղամարդիկ,Mejor Sinclair; Masculino,Mejor Sinclair; Masculino,,,Meilleurs Sinclair - Hommes,,,Top Sinclair - Mænd,Синклер - Мужчины,ТОП Сінклер - Чоловіки,Bästa Sinclair - Herrar,Top Sinclair - männlich,Melhor Sinclair; Masculino,,537,Top Sinclair - Men,Results.TopSinclairMen,Top Sinclair - Men
Results.TopSinclairWomen,Top Sinclair - Women,Սինկլեր-կանայք,Mejor Sinclair; Femenino,Mejor Sinclair; Femenino,,,Meilleurs Sinclair - Femme,,,Top Sinclair - Kvinder,Синклер - Женщины,ТОП Сінклер - Жінки,BästaSinclair - Damer,Top Sinclair - weiblich,Melhor Sinclair; Feminino,,538,Top Sinclair - Women,Results.TopSinclairWomen,Top Sinclair - Women
Scoreboard.TopSinclairMen,Top Sinclair &ndash; Men,Թոփ Սինկլեր &ndash; Տղամարդիկ,Mejor Sinclair; Masculino,Mejor Sinclair; Masculino,,,Meilleurs Sinclair &ndash; Hommes,,,Top Sinclair &ndash; Mænd,Синклер &ndash; Мужчины,ТОП Сінклер - Чоловіки,Bästa Sinclair &ndash; Herrar,Top Sinclair &ndash; männlich,Melhor Sinclair; Masculino,,539,Top Sinclair &ndash; Men,Scoreboard.TopSinclairMen,Top Sinclair &ndash; Men
Scoreboard.TopSinclairWomen,Top Sinclair &ndash; Women,Թոփ Սինկլեր &ndash; Կանայք,Mejor Sinclair; Femenino,Mejor Sinclair; Femenino,,,Meilleurs Sinclair &ndash; Femme,,,Top Sinclair &ndash; Kvinder,Синклер &ndash; Женщины,ТОП Сінклер - Жінки,BästaSinclair &ndash; Damer,Top Sinclair &ndash; weiblich,Melhor Sinclair; Feminino,,540,Top Sinclair &ndash; Women,Scoreboard.TopSinclairWomen,Top Sinclair &ndash; Women
Scoreboard.TopTeamsSinclair,Top Team Sinclair,Կազմի(1-5 տաղեր) Սինկլեր,El mejor equipo Sinclair,El mejor equipo Sinclair,,,Meilleurs Sinclair par équipe,,,Top Team Sinclair,Команда (1-5 мест) / Синклер,ТОП команд Сінклер,Bästa lag Sinclair,Top Mannschaft Sinclair,Melhor Sinclair Por Equipe,,541,Top Team Sinclair,Scoreboard.TopTeamsSinclair,Top Team Sinclair
Results.TopTeamsSinclair,Top Team Sinclair,Թիմային(1-5 տեղերը) Սինկլեր,El mejor equipo Sinclair,El mejor equipo Sinclair,,,Meilleurs Sinclair par équipe,,,Top Team Sinclair,Команда (1-5 мест) / Синклер,ТОП команд Сінклер,Bästa lag Sinclair,Top Mannschaft Sinclair,Melhor Sinclair Por Equipe,,542,Top Team Sinclair,Results.TopTeamsSinclair,Top Team Sinclair
Results.TopTeamsSinclairMen,Top Team Sinclair - Men,Թիմային(1-5 տեղերը) Սինկլեր-տղաներ,"Hombres, Mejor Equipo Sinclair","Hombres, Mejor Equipo Sinclair",,"Varones, Mejor Equipo Sinclair",Meilleurs Sinclair par équipe - Hommes,,,Top Team Sinclair - Mænd,Командное первенство (1-5 мест) / Синклер - Мужчины,ТОП команд Сінклер - Чоловіки,Bästa lag Sinclair - Herrar,Top Mannschaft Sinclair - männlich,Melhor Sinclair Por Equipe - Masculino,,543,Top Team Sinclair - Men,Results.TopTeamsSinclairMen,Top Team Sinclair - Men
Results.TopTeamsSinclairWomen,Top Team Sinclair - Women,Թիմային(1-5 տեղերը) Սինկլեր-աղջիկներ,"Mujeres, Mejor Equipo Sinclair","Mujeres, Mejor Equipo Sinclair",,"Damas, Mejor Equipo Sinclair",Meilleurs Sinclair par équipe - Femmes,,,Top Team Sinclair - Kvinder,Командное первенство (1-5 мест) / Синклер - Женщины,ТОП команд Сінклер - Жінки,Bästa lag Sinclair - Damer,Top Mannschaft Sinclair - weiblich,Melhor Sinclair Por Equipe - Feminino,,544,Top Team Sinclair - Women,Results.TopTeamsSinclairWomen,Top Team Sinclair - Women
Scoreboard.TopTeamsSinclairMen,Top Team Sinclair &ndash; Men,Թիմային առաջատար(1-5 տեղեր) Սինկլեր &ndash; Տղամարդիկ ,"Hombres, Mejor Equipo Sinclair","Hombres, Mejor Equipo Sinclair",,"Varones, Mejor Equipo Sinclair",Meilleurs Sinclair par équipe &ndash; Hommes,,,Top Team Sinclair &ndash; Mænd,Командное первенство (1-5 мест) / Синклер &ndash; Мужчины,ТОП команд Сінклер &ndash; Чоловіки,Bästa lag Sinclair &ndash; Herrar,Top Mannschaft Sinclair &ndash; männlich,Melhor Sinclair Por Equipe &ndash; Masculino,,545,Top Team Sinclair &ndash; Men,Scoreboard.TopTeamsSinclairMen,Top Team Sinclair &ndash; Men
Scoreboard.TopTeamsSinclairWomen,Top Team Sinclair &ndash; Women,Թիմային առաջատար(1-5 տեղեր) Սինկլեր &ndash; Կանայք,"Mujeres, Mejor Equipo Sinclair","Mujeres, Mejor Equipo Sinclair",,"Damas, Mejor Equipo Sinclair",Meilleurs Sinclair par équipe &ndash; Femmes,,,Top Team Sinclair &ndash; Kvinder,Командное первенство (1-5 мест) / Синклер &ndash; Женщины,ТОП команд Сінклер &ndash; Жінки,Bästa lag Sinclair &ndash; Damer,Top Mannschaft Sinclair &ndash; weiblich,Melhor Sinclair Por Equipe &ndash; Feminino,,546,Top Team Sinclair &ndash; Women,Scoreboard.TopTeamsSinclairWomen,Top Team Sinclair &ndash; Women
Scoreboard.TopTeams,Top Teams,Թիմային վարկանիշ(1-5 տեղերը),Los mejores Equipos,Los mejores Equipos,,,Meilleures équipes,,,Top Teams,Командный рейтинг (1-5 мест),Командний рейтинг,Bästa lag,Top Mannschaften,Melhores Equipes - Masculino,,547,Top Teams,Scoreboard.TopTeams,Top Teams
Results.TopTeams,Top Teams,Թիմային վարկանիշ(1-5 տեղերը),Los mejores Equipos,Los mejores Equipos,,,Meilleures équipes,,,Top Teams,Командный рейтинг (1-5 мест),Командний рейтинг,Bästa lag,Top Mannschaften,Melhor Equipe - Masculino,,548,Top Teams,Results.TopTeams,Top Teams
Scoreboard.TopTeamsMen,Top Teams - Men,Թիմային վարկանիշ-տղաներ,Los mejores Equipos - Hombres,Los mejores Equipos - Hombres,,Los mejores Equipos - Varones,Meilleures équipes - Hommes,,,Top Teams - Mænd,Командный рейтинг — Мужчины,Командний рейтинг - Чоловіки,Bästa lag - Herrar,Top Mannschaften - männlich,Melhores Equipes - Masculino,,549,Top Teams - Men,Scoreboard.TopTeamsMen,Top Teams - Men
Results.TopTeamsMen,Top Teams - Men,Թիմային վարկանիշ-տղաներ,Los mejores Equipos - Hombres,Los mejores Equipos - Hombres,,Los mejores Equipos - Varones,Meilleures équipes - Hommes,,,Top Teams - Mænd,Командный рейтинг — Мужчины,Командний рейтинг - Чоловіки,Bästa lag - Herrar,Top Mannschaften - männlich,Melhor Equipe - Masculino,,550,Top Teams - Men,Results.TopTeamsMen,Top Teams - Men
Scoreboard.TopTeamsWomen,Top Teams - Women,Թիմային վարկանիշ-աղջիկներ,Los mejores Equipos - Mujeres,Los mejores Equipos - Mujeres,,Los mejores Equipos - Damas,Meilleures équipes - Femmes,,,Top Teams - Kvinder,Командный рейтинг — Женщины,Командний рейтинг - Жінки,Bästa lag - Damer,Top Mannschaften – weiblich,Melhores Equipes -  Feminina,,551,Top Teams - Women,Scoreboard.TopTeamsWomen,Top Teams - Women
Results.TopTeamsWomen,Top Teams - Women,Թիմային վարկանիշ-աղջիկներ,Los mejores Equipos - Mujeres,Los mejores Equipos - Mujeres,,Los mejores Equipos - Damas,Meilleures équipes - Femmes,,,Top Teams - Kvinder,Командный рейтинг — Женщины,Командний рейтинг - Жінки,Bästa lag - Damer,Top Mannschaften – weiblich,Melhor Equipe -  Feminina,,552,Top Teams - Women,Results.TopTeamsWomen,Top Teams - Women
Card.total,Total,Երկամարտ,Total,Total,,,Total,,,Tokamp,Сумма,Сума,Total,Gesamt,Total,,553,Wynik,Card.total,Total
Scoreboard.Total,Total,Երկ,Total,Total,,,Total,,,Tokamp,Сумма,Сума,Total,Gesamt,Total,,554,Total,Scoreboard.Total,Total
Total,Total,Երկամարտ,Total,Total,,,Total,,,Tokamp,Сумма,Сума,Total,Gesamt,Total,,555,Total,Total,Total
Results.Total,Total,Երկ.,Total,Total,,,Total,,,Tokamp,Сумма,Сума,Total,Gesamt,Total,,556,Total,Results.Total,Total
TotalRank,Total Rank,Տեղը(երկ),Total Ranking,Total Ranking,,,Rang Total,,,Placering Tokamp,Место (C),Місце (С),Placering Total,Gesamt Platzierung,Classificação Total,,557,Total Rank,TotalRank,Total Rank
Translation,Translation,Թարգմանություն,Traducción,Traducción,,,Traduction,,,Oversættelse,Перевод,Переклад,Översättning,Übersetzung,Tradução,,558,Translation,Translation,Translation
Unexpected_Logging,Unexpected event: {} in state {},Անսպասելի իրադարձություն: {} վիճակ {},Evento inesperado: {} en estado {},Evento inesperado: {} en estado {},,,Événement inattendu: {} dans l'état {},,,Unexpected event: {} in state {},Неожиданное событие: {} в состоянии {},Несподівана подія: {} в стані {},Unexpected event: {} in state {},Unerwartetes Ereignis: {} im Zustand {},Evento inesperado: {} no estado {},,559,Unexpected event: {} in state {},Unexpected_Logging,Unexpected event: {} in state {}
Unexpected_Notification,Unexpected event: {0} in state {1},Անսպասելի իրադարձություն: {0} վիճակ {1},Evento inesperado: {0} en estado {1},Evento inesperado: {0} en estado {1},,,Événement inattendu: {0} dans l''état {1},,,Unexpected event: {0} in state {1},Неожиданное событие: {0} в состоянии {1},Несподівана подія: {0} в стані {1},Unexpected event: {0} in state {1},Unerwartetes Ereignis: {} im Zustand {1},Evento inesperado: {0} no estado {1},,560,Unexpected event: {0} in state {1},Unexpected_Notification,Unexpected event: {0} in state {1}
Update,Update,Թարմացնել,Actualizar,Actualizar,,,Modifier,,,Opdatér,Обновить,Оновити,Uppdatera,Update,Atualizar,,561,Update,Update,Update
Update_title,Update {0},Թարմացնել {0},Actualizar {0},Actualizar {0},,,Modifier {0},,,Opdatér {0},Редактировать,Редагування {0},Uppdatera {0},Update {0},Atualização {0},,562,Update {0},Update_title,Update {0}
EVENT_DecisionUpdate,update a referee decision,Թարմացնել մրցավար որոշումը,actualizar una decisión del juez,actualizar una decisión del juez,actualizar una decisión del árbitro,actualizar una decisión del árbitro,mettre à jour une décision,,,opdater en dommer afgørelse,обновить решение рефери,оновити рішення рефері,uppdatera en domares beslut,Aktualisiere eine Kampfrichter Entscheidung,Atualizar uma Decisão do Árbitro,,563,update a referee decision,EVENT_DecisionUpdate,update a referee decision
EVENT_DecisionFullUpdate,update referee decisions,Թարմացնել մրցավար որոշումը,actualizar las decisiones del juez,actualizar las decisiones del juez,actualizar las decisiones del árbitro,actualizar las decisiones del árbitro,mettre à jour les décisions,,,opdater dommer afgørelse,обновить решения рефери,оновити всі рішення рефері,uppdatera en domares beslut,Aktualisiere Kampfrichter Entscheidung,Atualizar as Decisões do Árbitro,,564,update referee decisions,EVENT_DecisionFullUpdate,update referee decisions
UploadRegistrations,Upload Completed Registration Spreadsheet,Բեռնել գրանցման ֆայլը,Cargar la hoja de cálculo completa,Cargar la hoja de cálculo completa,Carga la hoja de Calculo completa,Carga la hoja de Cálculo completa,Charger un fichier d'inscription,,,Upload udfyldt Registrerings-Excelfil,Загрузить файл регистрации,Завантажити заповнений файл реєстрації,Ladda upp en ifylld registreringsfil,Lade die fertige Registrierungstabelle hoch,Carregar Arquivo de Registro,,565,Upload Completed Registration Spreadsheet,UploadRegistrations,Upload Completed Registration Spreadsheet
UploadRegistrationFile,Upload Registration File,Բեռնել գրանցման ֆայլը,Subir Archivo de Registro,Subir Archivo de Registro,Suvir Archivo de Registro,Cargar Archivo de Registro,Charger le fichier d'inscription,,,Upload Registreringsfil,Загрузить файл регистрации,Завантажити файл реєстрації,Ladda upp registreringsfil,Upload Anmelde Datei,Carregar Arquivo de Registro,,566,Upload Registration File,UploadRegistrationFile,Upload Registration File
Competition.useBirthYear,Use Birth Year Only,Օգտագործել միայն ծննդյան տարեթիվը,Usar solo año de Nacimiento,Usar solo año de Nacimiento,,,Utiliser l'année de naissance seulement,,,Anvend kun fødselsår,Использовать только год рождения,Використовувати тільки рік народження,Använd endast födelseår,Nur Geburtsjahr benutzen,Usar Apenas o Ano do Nascimento,,567,Użyj tylko roku urodzenia,Competition.useBirthYear,Use Birth Year Only
UseBrowserSound,Use Browser Sound,Օգտագործել բրաուզերի ձայնը,Usar el sonido del Navegador,Usar el sonido del Navegador,,,Utiliser le son des navigateurs,,,Anvend browser lyd,Использовать звук браузера,Використовувати звук браузера,Använd webläsarens ljud,Benutze Browser Sound,Use Som do Navegador,,568,Use Browser Sound,UseBrowserSound,Use Browser Sound
Button_Open_Display,Use one of the buttons below to open a display.,Օգտագործեք ստորեւ բերված կոճակներից մեկը  էկրանը բացելու համար:,Use uno de los botones a continuación para abrir una pantalla.,Use uno de los botones a continuación para abrir una pantalla.,,,Utilisez un bouton ci-dessous pour démarrer un affichage,,,Brug en af knapperne nedenfor for at åbne et display.,Используйте одну из кнопок расположенных ниже для открытия экрана,"Для відкриття табло використовуйте одну з кнопок, розміщених нижче.",Använd en av knapparna nedan för att öppna en display,Benutze einen der unteren Schalter um eine Anzeige zu öffnen,Use um dos botões abaixo para abrir um display.,,569,"Użyj jednego z poniższych przycisków, aby otworzyć ekran.",Button_Open_Display,Use one of the buttons below to open a display.
